order_id,product,category,region,sales,profit,date
1,Laptop,Electronics,North,52000,6000,2024-01-02
2,Phone,Electronics,South,21000,3200,2024-01-05
3,Shoes,Fashion,West,4800,900,2024-01-08
4,Watch,Accessories,East,3200,600,2024-01-10
5,Tablet,Electronics,North,26000,4200,2024-01-12
6,Shirt,Fashion,South,2200,500,2024-01-15
7,Headphones,Electronics,West,3500,700,2024-01-18
8,Bag,Accessories,East,1800,300,2024-01-20
9,Laptop,Electronics,North,55000,6500,2024-01-22
10,Phone,Electronics,South,23000,3500,2024-01-25
11,Shoes,Fashion,West,5100,950,2024-02-02
12,Watch,Accessories,East,3400,650,2024-02-04
13,Tablet,Electronics,North,27000,4300,2024-02-06
14,Shirt,Fashion,South,2400,550,2024-02-08
15,Headphones,Electronics,West,3700,750,2024-02-10
16,Bag,Accessories,East,1900,350,2024-02-12
17,Laptop,Electronics,North,53000,6100,2024-02-14
18,Phone,Electronics,South,22000,3300,2024-02-16
19,Shoes,Fashion,West,4900,920,2024-02-18
20,Watch,Accessories,East,3100,580,2024-02-20
21,Tablet,Electronics,North,25500,4100,2024-02-22
22,Shirt,Fashion,South,2100,480,2024-02-24
23,Headphones,Electronics,West,3600,720,2024-02-26
24,Bag,Accessories,East,1700,290,2024-02-28
25,Laptop,Electronics,North,54000,6300,2024-03-01
26,Phone,Electronics,South,24000,3600,2024-03-03
27,Shoes,Fashion,West,5200,970,2024-03-05
28,Watch,Accessories,East,3300,620,2024-03-07
29,Tablet,Electronics,North,26500,4250,2024-03-09
30,Shirt,Fashion,South,2300,520,2024-03-11
31,Headphones,Electronics,West,3800,780,2024-03-13
32,Bag,Accessories,East,2000,360,2024-03-15
33,Laptop,Electronics,North,56000,6700,2024-03-17
34,Phone,Electronics,South,25000,3700,2024-03-19
35,Shoes,Fashion,West,5300,990,2024-03-21
36,Watch,Accessories,East,3500,680,2024-03-23
37,Tablet,Electronics,North,28000,4400,2024-03-25
38,Shirt,Fashion,South,2600,600,2024-03-27
39,Headphones,Electronics,West,3900,800,2024-03-29
40,Bag,Accessories,East,2100,380,2024-03-31
41,Laptop,Electronics,North,57000,6900,2024-04-02
42,Phone,Electronics,South,26000,3900,2024-04-04
43,Shoes,Fashion,West,5400,1000,2024-04-06
44,Watch,Accessories,East,3600,700,2024-04-08
45,Tablet,Electronics,North,28500,4500,2024-04-10
46,Shirt,Fashion,South,2700,620,2024-04-12
47,Headphones,Electronics,West,4000,820,2024-04-14
48,Bag,Accessories,East,2200,400,2024-04-16
49,Laptop,Electronics,North,58000,7100,2024-04-18
50,Phone,Electronics,South,27000,4000,2024-04-20
51,Shoes,Fashion,West,5500,1020,2024-04-22
52,Watch,Accessories,East,3700,720,2024-04-24
53,Tablet,Electronics,North,29000,4600,2024-04-26
54,Shirt,Fashion,South,2800,640,2024-04-28
55,Headphones,Electronics,West,4100,840,2024-04-30
56,Bag,Accessories,East,2300,420,2024-05-02
57,Laptop,Electronics,North,59000,7200,2024-05-04
58,Phone,Electronics,South,28000,4200,2024-05-06
59,Shoes,Fashion,West,5600,1040,2024-05-08
60,Watch,Accessories,East,3800,750,2024-05-10
61,Tablet,Electronics,North,30000,4800,2024-05-12
62,Shirt,Fashion,South,2900,660,2024-05-14
63,Headphones,Electronics,West,4200,860,2024-05-16
64,Bag,Accessories,East,2400,450,2024-05-18
65,Laptop,Electronics,North,60000,7400,2024-05-20
66,Phone,Electronics,South,29000,4300,2024-05-22
67,Shoes,Fashion,West,5700,1060,2024-05-24
68,Watch,Accessories,East,3900,780,2024-05-26
69,Tablet,Electronics,North,31000,5000,2024-05-28
70,Shirt,Fashion,South,3000,700,2024-05-30
71,Headphones,Electronics,West,4300,880,2024-06-01
72,Bag,Accessories,East,2500,480,2024-06-03
73,Laptop,Electronics,North,61000,7600,2024-06-05
74,Phone,Electronics,South,30000,4500,2024-06-07
75,Shoes,Fashion,West,5800,1080,2024-06-09
76,Watch,Accessories,East,4000,800,2024-06-11
77,Tablet,Electronics,North,32000,5200,2024-06-13
78,Shirt,Fashion,South,3100,720,2024-06-15
79,Headphones,Electronics,West,4400,900,2024-06-17
80,Bag,Accessories,East,2600,500,2024-06-19
81,Laptop,Electronics,North,62000,7800,2024-06-21
82,Phone,Electronics,South,31000,4600,2024-06-23
83,Shoes,Fashion,West,5900,1100,2024-06-25
84,Watch,Accessories,East,4100,820,2024-06-27
85,Tablet,Electronics,North,33000,5400,2024-06-29
86,Shirt,Fashion,South,3200,750,2024-07-01
87,Headphones,Electronics,West,4500,920,2024-07-03
88,Bag,Accessories,East,2700,520,2024-07-05
89,Laptop,Electronics,North,63000,8000,2024-07-07
90,Phone,Electronics,South,32000,4800,2024-07-09
91,Shoes,Fashion,West,6000,1120,2024-07-11
92,Watch,Accessories,East,4200,850,2024-07-13
93,Tablet,Electronics,North,34000,5600,2024-07-15
94,Shirt,Fashion,South,3300,780,2024-07-17
95,Headphones,Electronics,West,4600,950,2024-07-19
96,Bag,Accessories,East,2800,550,2024-07-21
97,Laptop,Electronics,North,64000,8200,2024-07-23
98,Phone,Electronics,South,33000,5000,2024-07-25
99,Shoes,Fashion,West,6100,1150,2024-07-27
100,Watch,Accessories,East,4300,880,2024-07-29
